DATE,PCND
1948-01-01,81.546
1948-04-01,83.169
1948-07-01,83.465
1948-10-01,83.686
1949-01-01,82.731
1949-04-01,81.894
1949-07-01,80.255
1949-10-01,80.949
1950-01-01,81.465
1950-04-01,82.788
1950-07-01,86.632
1950-10-01,86.652
1951-01-01,91.966
1951-04-01,91.445
1951-07-01,93.171
1951-10-01,95.454
1952-01-01,94.762
1952-04-01,96.601
1952-07-01,98.474
1952-10-01,100.331
1953-01-01,100.517
1953-04-01,100.556
1953-07-01,99.842
1953-10-01,99.959
1954-01-01,101.261
1954-04-01,101.324
1954-07-01,102.196
1954-10-01,103.431
1955-01-01,104.502
1955-04-01,106.122
1955-07-01,106.942
1955-10-01,109.046
1956-01-01,110.541
1956-04-01,111.291
1956-07-01,112.432
1956-10-01,113.676
1957-01-01,115.417
1957-04-01,116.479
1957-07-01,119.353
1957-10-01,119.052
1958-01-01,119.862
1958-04-01,121.183
1958-07-01,123.026
1958-10-01,124.08
1959-01-01,126.074
1959-04-01,127.152
1959-07-01,128.188
1959-10-01,129.461
1960-01-01,129.605
1960-04-01,131.961
1960-07-01,131.58
1960-10-01,132.413
1961-01-01,133.401
1961-04-01,134.245
1961-07-01,134.596
1961-10-01,136.167
1962-01-01,137.832
1962-04-01,138.745
1962-07-01,139.96
1962-10-01,141.477
1963-01-01,142.458
1963-04-01,142.803
1963-07-01,145.166
1963-10-01,145.279
1964-01-01,148.651
1964-04-01,151.455
1964-07-01,154.877
1964-10-01,155.8
1965-01-01,157.76
1965-04-01,160.768
1965-07-01,164.069
1965-10-01,170.545
1966-01-01,174.094
1966-04-01,177.238
1966-07-01,179.77
1966-10-01,180.394
1967-01-01,182.375
1967-04-01,184.021
1967-07-01,185.777
1967-10-01,187.864
1968-01-01,193.535
1968-04-01,197.769
1968-07-01,202.841
1968-10-01,205.007
1969-01-01,208.834
1969-04-01,212.216
1969-07-01,215.988
1969-10-01,219.744
1970-01-01,224.484
1970-04-01,226.548
1970-07-01,229.716
1970-10-01,234.475
1971-01-01,235.828
1971-04-01,238.832
1971-07-01,240.424
1971-10-01,243.595
1972-01-01,247.04
1972-04-01,254.302
1972-07-01,260.084
1972-10-01,268.057
1973-01-01,275.456
1973-04-01,281.386
1973-07-01,289.916
1973-10-01,297.675
1974-01-01,308.853
1974-04-01,318.017
1974-07-01,327.667
1974-10-01,330.908
1975-01-01,336.206
1975-04-01,344.849
1975-07-01,355.964
1975-10-01,359.659
1976-01-01,367.436
1976-04-01,373.07
1976-07-01,380.608
1976-10-01,389.607
1977-01-01,396.467
1977-04-01,403.704
1977-07-01,409.909
1977-10-01,423.604
1978-01-01,431.073
1978-04-01,444.812
1978-07-01,455.62
1978-10-01,469.367
1979-01-01,484.59
1979-04-01,500.067
1979-07-01,522.347
1979-10-01,539.388
1980-01-01,559.946
1980-04-01,565.914
1980-07-01,576.499
1980-10-01,591.25
1981-01-01,614.044
1981-04-01,622.849
1981-07-01,629.127
1981-10-01,635.702
1982-01-01,639.854
1982-04-01,638.721
1982-07-01,649.719
1982-10-01,656.74
1983-01-01,657.003
1983-04-01,673.049
1983-07-01,688.437
1983-10-01,696.522
1984-01-01,706.457
1984-04-01,722.374
1984-07-01,724.567
1984-10-01,732.781
1985-01-01,742.385
1985-04-01,752.76
1985-07-01,760.485
1985-10-01,773.345
1986-01-01,779.252
1986-04-01,767.452
1986-07-01,771.042
1986-10-01,779.007
1987-01-01,797.382
1987-04-01,812.281
1987-07-01,820.656
1987-10-01,826.781
1988-01-01,838.387
1988-04-01,853.54
1988-07-01,870.778
1988-10-01,886.321
1989-01-01,902.525
1989-04-01,927.749
1989-07-01,936.288
1989-10-01,951.338
1990-01-01,974.173
1990-04-01,980.853
1990-07-01,1003.106
1990-10-01,1018.756
1991-01-01,1014.15
1991-04-01,1021.765
1991-07-01,1024.392
1991-10-01,1020.699
1992-01-01,1037.668
1992-04-01,1047.218
1992-07-01,1061.049
1992-10-01,1074.81
1993-01-01,1079.129
1993-04-01,1086.326
1993-07-01,1092.528
1993-10-01,1105.275
1994-01-01,1116.845
1994-04-01,1128.094
1994-07-01,1149.581
1994-10-01,1163.01
1995-01-01,1166.854
1995-04-01,1176.984
1995-07-01,1183.691
1995-10-01,1191.651
1996-01-01,1211.173
1996-04-01,1239.541
1996-07-01,1246.505
1996-10-01,1268.285
1997-01-01,1281.017
1997-04-01,1277.72
1997-07-01,1297.345
1997-10-01,1307.821
1998-01-01,1306.679
1998-04-01,1319.925
1998-07-01,1334.82
1998-10-01,1355.16
1999-01-01,1384.945
1999-04-01,1418.268
1999-07-01,1440.071
1999-10-01,1482.69
2000-01-01,1492.211
2000-04-01,1535.118
2000-07-01,1557.492
2000-10-01,1577.579
2001-01-01,1572.434
2001-04-01,1590.627
2001-07-01,1591.359
2001-10-01,1581.892
2002-01-01,1585.634
2002-04-01,1609.535
2002-07-01,1616.722
2002-10-01,1641.855
2003-01-01,1682.801
2003-04-01,1670.079
2003-07-01,1724.47
2003-10-01,1741.837
2004-01-01,1779.005
2004-04-01,1803.006
2004-07-01,1826.294
2004-10-01,1877.483
2005-01-01,1891.983
2005-04-01,1919.496
2005-07-01,1986.031
2005-10-01,2019.741
2006-01-01,2042.714
2006-04-01,2076.844
2006-07-01,2112.905
2006-10-01,2092.827
2007-01-01,2129.103
2007-04-01,2166.108
2007-07-01,2188.151
2007-10-01,2232.589
2008-01-01,2252.859
2008-04-01,2305.803
2008-07-01,2332.089
2008-10-01,2167.09
2009-01-01,2115.548
2009-04-01,2139.774
2009-07-01,2193.373
2009-10-01,2222.909
2010-01-01,2245.069
2010-04-01,2247.333
2010-07-01,2262.696
2010-10-01,2320.351
2011-01-01,2381.108
2011-04-01,2431.554
2011-07-01,2437.019
2011-10-01,2448.807
2012-01-01,2490.624
2012-04-01,2482.819
2012-07-01,2490.133
2012-10-01,2510.497
2013-01-01,2546.973
2013-04-01,2522.891
2013-07-01,2553.343
2013-10-01,2578.384
2014-01-01,2602.782
2014-04-01,2641.621
2014-07-01,2660.652
2014-10-01,2652.212
2015-01-01,2605.746
2015-04-01,2641.163
2015-07-01,2666.696
2015-10-01,2643.739
2016-01-01,2632.874
2016-04-01,2677.922
2016-07-01,2684.449
2016-10-01,2710.918
2017-01-01,2759.784
2017-04-01,2768.626
2017-07-01,2798.223
2017-10-01,2858.582
2018-01-01,2904.59
2018-04-01,2921.762
2018-07-01,2930.836
2018-10-01,2944.32
2019-01-01,2946.584
2019-04-01,3006.352
2019-07-01,3029.263
2019-10-01,3043.63
